,Unnamed: 0,Raw_Tweets,Tweet_Subjectivity,Tweet_Polarity
0,0,awww bummer shoulda got david carr third day,0.45,0.2
1,1,upset update facebook texting might cry result school today also blah,0.0,0.0
2,2,dived many times ball managed save 50 rest go bounds,0.5,0.5
3,3,whole body feels itchy like fire,0.4,0.2
4,4,not behaving mad see,1.0,-0.625
5,5,not whole crew,0.4,-0.1
6,6,happy got phone today,1.0,0.8
7,7,hey long time see yes rains bit bit lol fine thanks,0.45,0.3416666666666667
8,8,nope,0.0,0.0
9,9,que muera,0.0,0.0
10,10,spring break plain city snowing,0.35714285714285715,-0.21428571428571427
11,11,not comfortable watching movie last night,0.43333333333333335,-0.1
12,12,bear watch thought ua loss embarrassing,0.0,0.0
13,13,counts idk either never talk anymore,0.0,0.0
14,14,would first gun not really though zac snyder doucheclown,0.26666666666666666,0.075
15,15,wish got watch miss iamlilnicki premiere,0.0,0.0
16,16,hollis death scene hurt severely watch film wry directors cut not,0.0,0.0
17,17,file taxes,0.0,0.0
18,18,ahh ive always wanted see rent love soundtrack,0.6,0.5
19,19,oh dear drinking forgotten table drinks,0.0,0.0
20,20,day get much done,0.2,0.2
21,21,one friend called asked meet mid valley today time sigh,0.0,0.0
22,22,baked cake ated,0.0,0.0
23,23,week not going hoped,0.0,0.0
24,24,blagh class 8 tomorrow,0.0,0.0
25,25,hate call wake people,0.9,-0.8
26,26,going cry sleep watching marley,0.0,0.0
27,27,im sad miss lilly,1.0,-0.5
28,28,ooooh lol leslie ok leslie get mad,0.7333333333333334,0.225
29,29,meh almost lover exception track gets depressed every time,0.0,0.0
30,30,some1 hacked account aim make new one,0.45454545454545453,0.13636363636363635
31,31,want go promote gear groove unfornately ride may b going one anaheim may though,0.0,0.0
32,32,thought sleeping option tomorrow realizing not evaluations morning work afternoon,0.0,0.0
33,33,awe love 1 miss,0.6,0.5
34,34,cry asian eyes sleep night,0.0,0.0
35,35,ok sick spent hour sitting shower cause sick stand held back puke like champ bed,0.4628571428571429,-0.20571428571428568
36,36,ill tell ya story later not good day ill workin like three hours,0.65,-0.3375
37,37,sorry bed time came gmt 1,1.0,-0.5
38,38,either depressing think even want know kids suitcases,0.9,-0.6
39,39,bed class 8 12 work 12 3 gym 3 5 6 class 6 10 another day gonna fly miss girlfriend,0.9,0.8
40,40,really feel like getting today got study tomorrows practical exam,0.2,0.2
41,41,reason teardrops guitar one enough break heart,0.5,0.0
42,42,sad sad sad know hate feeling wanna sleep still,0.975,-0.575
43,43,awww soo wish see finally comfortable im sad missed,0.9,0.10000000000000002
44,44,falling asleep heard tracy girl body found sad heart breaks family,1.0,-0.5
45,45,yay happy job also means less time,0.5333333333333333,0.3166666666666667
46,46,checked user timeline blackberry looks like twanking still happening ppl still probs w bgs uids,0.0,0.0
47,47,oh man ironing jeancjumbe fave top wear meeting burnt,0.5,0.5
48,48,strangely sad lilo samro breaking,1.0,-0.5
